date,open,high,low,close,volume,amount,turn,pctChg
2015-01-05,3566.089,3669.042,3551.51,3641.541,45119809800,519849817448.0,0.020899,3.051639
2015-01-06,3608.428,3683.226,3587.231,3641.059,42096218500,498529588258.0,0.019499,-0.013234
2015-01-07,3620.924,3671.19,3601.698,3643.79,32019123200,398731720502.0,0.014831,0.075004
2015-01-08,3650.073,3659.945,3552.1,3559.259,29500304500,355831967325.0,0.013664,-2.319865
2015-01-09,3547.574,3689.753,3536.395,3546.723,34998267200,430210592272.0,0.016209,-0.352212
2015-01-12,3531.515,3560.527,3461.322,3513.576,26656717500,334257133083.0,0.012346,-0.93458
2015-01-13,3506.451,3550.158,3494.768,3514.04,18715396500,250796676069.0,0.008668,0.013209
2015-01-14,3522.907,3547.242,3471.56,3502.423,19601251000,241285837533.0,0.009078,-0.330587
2015-01-15,3501.719,3604.121,3482.27,3604.121,23781233800,303445351108.0,0.010998,2.903647
2015-01-16,3616.248,3662.158,3601.258,3635.146,28268161400,355568710742.0,0.013073,0.860817
2015-01-19,3414.013,3497.252,3330.981,3355.155,32950527500,366017532103.0,0.015236,-7.702331
2015-01-20,3336.793,3419.204,3325.681,3396.222,29784323200,381917903845.0,0.01376,1.223994
2015-01-21,3420.491,3557.794,3409.43,3548.885,33792821000,425433704264.0,0.015612,4.495086
2015-01-22,3551.052,3576.756,3520.053,3567.613,26885359900,345026040998.0,0.012416,0.527716
2015-01-23,3582.088,3627.806,3548.626,3571.732,28017217200,361835546416.0,0.012929,0.115452
2015-01-26,3580.118,3611.617,3559.376,3607.985,23976620300,309585710088.0,0.011066,1.015003
2015-01-27,3614.038,3616.258,3510.017,3574.931,28766917900,357548249621.0,0.013277,-0.91614
2015-01-28,3547.239,3583.312,3512.393,3525.323,21622021400,278749164896.0,0.009968,-1.387661
2015-01-29,3474.915,3505.582,3453.901,3481.798,21161886000,251897926442.0,0.009756,-1.234636
2015-01-30,3496.885,3514.217,3431.936,3434.39,19647915700,237420793858.0,0.009058,-1.361601
2015-02-02,3360.193,3407.256,3347.085,3353.96,19518369900,224837769887.0,0.008985,-2.341899
2015-02-03,3388.602,3441.709,3360.717,3437.445,19284609600,241100023193.0,0.008878,2.48915
2015-02-04,3446.144,3476.817,3399.565,3401.768,19130434900,244034297155.0,0.008807,-1.037893
2015-02-05,3487.951,3487.951,3366.862,3366.946,25043060900,311523669172.0,0.011528,-1.023645
2015-02-06,3352.33,3374.051,3285.935,3312.42,19266418600,221433183351.0,0.008869,-1.619453
2015-02-09,3305.734,3376.526,3298.597,3345.921,17235382000,220766525021.0,0.007929,1.011375
2015-02-10,3345.077,3407.18,3339.548,3406.943,15930908800,199120680699.0,0.007328,1.823779
2015-02-11,3415.977,3445.655,3412.136,3434.124,14461377200,185979219656.0,0.006644,0.797809
2015-02-12,3435.361,3453.582,3405.627,3442.874,15608169100,191285873488.0,0.007165,0.254796
2015-02-13,3458.827,3509.505,3452.079,3469.828,20108997100,247076153339.0,0.009231,0.782888
2015-02-16,3473.289,3504.475,3466.607,3499.483,16564134300,222799721247.0,0.007603,0.854654
2015-02-17,3511.544,3536.82,3511.093,3522.322,16532831300,214457267905.0,0.007581,0.652642
2015-02-25,3529.55,3529.55,3463.955,3478.729,16553935100,211739059322.0,0.007585,-1.237622
2015-02-26,3473.713,3569.33,3456.871,3566.295,22932843800,279809075234.0,0.010504,2.517181
